attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-electricity-liion-battery,Name
type,str,n/a,storage,,Type
carrier,str,n/a,electricity,,Energy carrier
tech,str,n/a,liion_battery,,Technology
bus,str,n/a,,-electricity,The bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
storage_capacity,float,MWh,n/a,,Installed storage capacity
efficiency,float,unitless,n/a,,Efficiency of charging/discharging
marginal_cost,float,Eur/MWh,n/a,,Marginal cost of charging/discharging
loss_rate,float,unitless,n/a,,Losses due to self discharging
expandable,boolean,n/a,,,Capacity can be expanded
capacity_cost,float,Eur/MW,n/a,,Annualized investment cost per charging/discharging capacity
storage_capacity_cost,float,Eur/MWh,n/a,,Annualized investment cost per storage capacity
input_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's input flow
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow 
