attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-electricity-bev,Name
type,str,n/a,bev,,Type
carrier,str,n/a,electricity,,Energy carrier
tech,str,n/a,bev,,Technology
bus,str,n/a,,-electricity,The bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
storage_capacity,float,MWh,n/a,,Installed storage capacity
efficiency_charging,float,unitless,1,,Efficiency of charging
efficiency_discharging,float,unitless,1,,Efficiency of discharging
efficiency_v2g,float,unitless,1,,Efficiency of vehicle-to-grid
marginal_cost,float,Eur/MWh,,,Marginal cost of vehicle-to-grid
availability,str,,,-availability-profile,Ratio of cars with grid contact profile
amount,float,MWh,,,Total amount of energy consumed by driving
drive_power,str,,,-drive_power-profile,Drive power profile as a ratio of amount
min_storage_level,str,,,-min_storage_level-profile,Min charge level profile
max_storage_level,str,,,-max_storage_level-profile,Max charge level profile
input_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's input flow
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow
