attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-electricity-h2-cavern,Name
type,str,n/a,asymmetric storage,,Type
carrier,str,n/a,electricity,,Energy carrier
tech,str,n/a,h2_cavern,,Technology
bus,str,n/a,,-electricity,The bus this component is connected to
capacity_charge,float,MW,n/a,,Installed charge capacity
capacity_discharge,float,MW,n/a,,Installed discharge capacity
storage_capacity,float,MWh,n/a,,Installed storage capacity
efficiency_charge,float,unitless,n/a,,Efficiency of charging
efficiency_discharge,float,unitless,n/a,,Efficiency of discharging
marginal_cost,float,Eur/MWh,n/a,,Marginal cost of charging/discharging
loss_rate,float,unitless,n/a,,Losses due to self discharging
expandable,boolean,n/a,,,Capacity can be expanded
capacity_cost_charge,float,Eur/MW,n/a,,Annualized investment cost per charging capacity
capacity_cost_discharge,float,Eur/MW,n/a,,Annualized investment cost per discharging capacity
storage_capacity_cost,float,Eur/MWh,n/a,,Annualized investment cost per storage capacity
input_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's input flow
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow 
